.3g2, VLC.3g2.Document
.3gp, VLC.3gp.Document
.3gp2, VLC.3gp2.Document
.3gpp, VLC.3gpp.Document
.asf, VLC.asf.Document
.asx, VLC.asx.Document
.avi, VLC.avi.Document
.m1v, VLC.m1v.Document
.m2t, VLC.m2t.Document
.m2ts, VLC.m2ts.Document
.m4v, VLC.m4v.Document
.mkv, VLC.mkv.Document
.mov, VLC.mov.Document
.mp2v, VLC.mp2v.Document
.mp3, VLC.mp3
.mp4, VLC.mp4.Document
.mp4v, VLC.mp4v.Document
.mpa, VLC.mpa.Document
.MPE, VLC.mpe.Document
.mpeg, VLC.mpeg.Document
.mpg, VLC.mpg.Document
.mpv2, VLC.mpv2.Document
.mts, VLC.mts.Document
.TS, VLC.ts.Document
.TTS, VLC.tts.Document
.wmv, VLC.wmv.Document
